city,lat,lng
Bani Walid,31.7704,13.99
Awbari,26.5903,12.7751
Al Jawf,24.2,23.29
Al Kufrah,24.1667,23.2696
Qaminis,31.6606,20.0155
Banghazi,32.1167,20.0667
Misratah,32.38,15.1
Kenitra,34.2704,-6.58
Goulimine,28.98,-10.07
Fez,34.0546,-5.0004
Casablanca,33.6,-7.6164
Agadir,30.44,-9.62
Beni Mellal,32.3373,-6.3498
Tangier,35.7473,-5.8327
Settat,33.0104,-7.62
Oujda,34.69,-1.91
Meknes,33.9004,-5.56
Rabat,34.0253,-6.8361
Marrakesh,31.63,-8
El Jadida,33.2604,-8.51
Er Rachidia,31.9404,-4.45
Tan Tan,28.4304,-11.1
Taza,34.2204,-4.02
Larache,35.2004,-6.16
Ksar El Kebir,35.0204,-5.91
Safi,32.32,-9.24
Tiznit,29.7104,-9.74
Ouezzane,34.8103,-5.57
Monaco,43.7396,7.4069
Leova,46.4823,28.253
Rezina,47.7493,28.9658
Causeni,46.6367,29.4111
Riscani,47.9479,27.5638
Singerei,47.6363,28.143
Falesti,47.5767,27.7126
Floresti,47.8914,28.2931
Soldanesti,47.8161,28.7972
Stefan Voda,46.5129,29.6619
Orhei,47.3849,28.8245
Comrat,46.2946,28.6565
Cimislia,46.5268,28.7644
Cantemir,46.2774,28.2027
Basarabeasca,46.3317,28.9636
Edinet,48.1721,27.3034
Ocnita,48.3827,27.4381
Drochia,48.0355,27.8129
Donduseni,48.2394,27.6056
Briceni,48.3629,27.0779
Ialoveni,46.9435,28.7823
Balti,47.7591,27.9053
Criuleni,47.2131,29.1593
Bender,46.8316,29.4777
Anenii Noi,46.8784,29.2348
Cahul,45.9079,28.1944
Chisinau,47.005,28.8577
Straseni,47.1422,28.6077
Tiraspol,46.8531,29.64
Telenesti,47.5011,28.3654
Taraclia,45.9027,28.6682
Dubasari,47.2631,29.1608
Cocieri,47.3087,29.1101
Calarasi,47.2556,28.3099
Glodeni,47.7751,27.5189
Hincesti,46.8305,28.5906
Nisporeni,47.0816,28.1714
Soroca,48.1566,28.2849
Ungheni,47.2108,27.8005
Berane,42.8425,19.8733
Plav,42.5969,19.9456
Andrijevica,42.7339,19.7919
Petnjica,42.9089,19.9644
Gusinje,42.5619,19.8339
Kolasin,42.8242,19.5225
Podgorica,42.466,19.2663
Bijelo Polje,43.0292,19.7456
Bar,42.0931,19.1003
Budva,42.2864,18.84
Cetinje,42.3922,18.9225
Danilovgrad,42.5472,19.1053
Herceg-Novi,42.4531,18.5375
Kotor,42.4258,18.7719
Mojkovac,42.9639,19.5825
Niksic,42.775,18.9583
Pluzine,43.1528,18.8394
Pljevlja,43.3522,19.3542
Rozaje,42.8439,20.1683
Savnik,42.9564,19.0967
Tivat,42.4364,18.6961
Ulcinj,41.9283,19.2064
Zabljak,43.1547,19.1219
Marigot,18.0706,-63.0847
Antananarivo,-18.9166,47.5166
Toamasina,-18.1818,49.405
Antalaha,-14.8833,50.2833
Maroantsetra,-15.4333,49.7333
Mandritsara,-15.8328,48.8166
Besalampy,-16.7495,44.4833
Marovoay,-16.0995,46.6333
Andoany,-13.4,48.2666
Mahajanga,-15.67,46.345
Ambanja,-13.6829,48.45
Antsiranana,-12.2765,49.3115
Miandrivazo,-19.5162,45.4666
Mananjary,-21.2167,48.3333
Morombe,-21.7391,43.3657
Toliara,-23.3568,43.69
Manja,-21.4329,44.3333
Fianarantsoa,-21.4333,47.0833
Androka,-25.0219,44.0749
Bekiy,-24.2162,45.3166
Antsirabe,-19.85,47.0333
Antsohihy,-14.8661,47.9834
Maintirano,-18.0666,44.0167
Ambatondrazaka,-17.8329,48.4167
Farafangana,-22.8166,47.8332
Ihosy,-22.3996,46.1167
Morondava,-20.2833,44.2833
Tolanaro,-25.0268,46.99
Sambava,-14.2662,50.1666
Majuro,7.103,171.38
Vevcani,41.2406,20.5933
Kocani,41.9164,22.4128
Staro Nagoricane,42.1981,21.8286
Radovis,41.6383,22.4647
Sopiste,41.9547,21.4275
Petrovec,41.9389,21.615
Bosilovo,41.4406,22.7278
Zrnovci,41.8542,22.4444
Gradsko,41.5775,21.9428
Lipkovo,42.1564,21.5853
Lozovo,41.7839,21.9056
Plasnica,41.4672,21.1231
Aracinovo,42.0264,21.5619
Studenicani,41.9158,21.5306
Resen,41.0893,21.0109
Bogovinje,41.9236,20.9136
Vinica,41.8828,22.5092
Belcista,41.3028,20.8303
Mogila,41.1083,21.3786
Veles,41.7156,21.7756
Kavadarci,41.4331,22.0119
Kumanovo,42.1322,21.7144
Ohrid,41.1172,20.8019
Strumica,41.4375,22.6433
Makedonski Brod,41.5136,21.2153
Rostusa,41.61,20.6
Struga,41.178,20.6778
Cucer-Sandevo,42.102,21.3846
Novo Selo,41.4149,22.8816
Zelenikovo,41.8841,21.5885
Star Dojran,41.1865,22.7203
Skopje,42,21.4335
Stip,41.7423,22.1979
Makedonska Kamenica,42.0208,22.5876
Ilinden,41.9945,21.58
Demir Hisar,41.221,21.203
Zelino,41.9825,21.0624
Prilep,41.3451,21.555
Bitola,41.0391,21.3395
Krivogastani,41.3369,21.3311
Krusevo,41.3694,21.2483
Vasilevo,41.4741,22.643
Gostivar,41.796,20.9082
Vrapciste,41.8344,20.8856
Novaci,41.042,21.4587
Caska,41.6487,21.6922
Kratovo,42.0784,22.1807
Probistip,42.0019,22.1728
Debar,41.5244,20.5242
Centar Zupa,41.4788,20.5586
Rosoman,41.5167,21.9458
Jegunovce,42.0724,21.1237
Demir Kapija,41.4061,22.2463
Negotino,41.4846,22.0906
Konce,41.4951,22.3836
Dolneni,41.4258,21.454
Sveti Nikole,41.8667,21.9411
Valandovo,41.3174,22.56
Kicevo,41.5127,20.9589
Delcevo,41.9654,22.7763
Tetovo,42.0092,20.9701
Cesinovo,41.8715,22.2896
Karbinci,41.8176,22.2353
Tearce,42.0767,21.0531
Kriva Palanka,42.2009,22.3324
Rankovce,42.1686,22.1166
Pehcevo,41.7623,22.8892
Gevgelija,41.1417,22.5014
Bogdanci,41.2031,22.5756
Berovo,41.7031,22.8578
Brvenica,41.9672,20.9808
Aguelhok,19.4549,0.8564
Bamako,12.65,-8
Kidal,18.4411,1.4078
Bourem,16.9004,-0.35
Mopti,14.49,-4.18
Gao,16.2666,-0.05
Satadougou,12.617,-11.4066
Koulikoro,12.8833,-7.55
Sikasso,11.3204,-5.68
Araouane,18.9,-3.53
Segou,13.44,-6.26
Timbuktu,16.7666,-3.0166
Markala,13.6704,-6.07
Taoudenni,22.6666,-3.9834
Kayes,14.45,-11.44
Sokolo,14.7337,-6.1333
Kita,13.0504,-9.4833
Nara,15.18,-7.28
Kati,12.7504,-8.08
Kangaba,11.9404,-8.44
San,13.3004,-4.9
Bougouni,11.4204,-7.49
Koutiala,12.3904,-5.47
Djenne,13.9,-4.55
Yelimane,15.1337,-10.5666
Bafoulabe,13.8004,-10.82
Nioro du Sahel,15.2304,-9.59
Goundam,16.417,-3.6666
Menaka,15.9167,2.4
Tessalit,20.2014,1.0888
Banamba,13.5504,-7.45
Rangoon,16.7834,96.1667
Allanmyo,19.3783,95.2279
Mudon,16.2618,97.7215
Mawlamyine,16.5004,97.67
Phyarpon,16.2933,95.6829
Labutta,16.1619,94.7014
Dawei,14.098,98.195
Myeik,12.4541,98.6115
Ye,15.2533,97.8679
Namtu,23.0837,97.4
Hinthada,17.6483,95.4679
Thongwa,16.7547,96.5193
Bago,17.32,96.515
Pathein,16.7704,94.75
Yandoon,17.0433,95.6429
Wakema,16.6133,95.1829
Pyay,18.8165,95.2114
Chauk,20.9085,94.823
Myitkyina,25.3596,97.3928
Monywa,22.105,95.15
Naypyidaw,19.7666,96.1186
Loikaw,19.665,97.206
Yaynangyoung,20.4615,94.881
Kyaukphyu,19.429,93.5494
Magway,20.1445,94.9196
Shwebo,22.5783,95.6929
Sagaing,21.88,95.962
Myingyan,21.4618,95.3914
Pakokku,21.332,95.0866
Mandalay,21.97,96.085
Taunggyi,20.782,97.038
Pyu,18.4779,96.4379
Taungoo,18.9483,96.4179
Letpadan,17.7819,95.7415
Sittwe,20.14,92.88
Pa-an,16.85,97.6167
Hakha,22.65,93.6167
Olgiy,48.9337,89.95
Mandalgovi,45.75,106.266
Ulaanbaatar,47.9167,106.9166
Moron,49.6453,100.1544
Darhan,49.6167,106.35
Erdenet,49.0533,104.1183
Uliastay,47.75,96.8167
Choyr,46.3611,108.3611
Altay,46.3722,96.2583
Buyant-Uhaa,44.8666,110.15
Choybalsan,48.0666,114.506
Ulaangom,49.9833,92.0666
Bulgan,48.8106,103.5317
Arvayheer,46.25,102.7666
Tsetserleg,47.4769,101.4502
Bayankhongor,46.3,100.9833
Darhan,49.4867,105.9228
Dzuunharaa,48.8666,106.4666
Dzuunmod,47.711,106.947
Ondorhaan,47.3167,110.65
Dalandzadgad,43.5708,104.425
Ulaan-Uul,44.3337,111.2333
Hodrogo,48.9664,96.7833
Baruun Urt,46.7,113.2833
Suchboatar,50.25,106.2
Dund-Us,48.0166,91.6333
Dalandzadgad,43.5836,104.4403
Macau,22.203,113.545
Fort-de-France,14.6104,-61.08
Bogue,16.5904,-14.27
Chegga,25.3804,-5.78
Boutilimit,17.5504,-14.7
Timbedra,16.2504,-8.1666
Bir Mogrein,25.2333,-11.5833
Fderik,22.679,-12.707
Selibaby,15.167,-12.1833
Aleg,17.058,-13.909
Akjoujt,19.747,-14.391
Kiffa,16.62,-11.4
Nema,16.6171,-7.25
